Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
T2310O18,Market - Cover,"AT&T, Inc.",US,1,1,USD,Options,$0.00 ,$0.00 ,03/10/2023 - 18:15
T2310O18,Market - Short,"AT&T, Inc.",US,-1,1,USD,Options,$0.01 ,$1.00 ,03/06/2023 - 15:14
T2310C19.5,Market - Sell,"AT&T, Inc.",US,-1,1,USD,Options,$0.01 ,$1.00 ,03/06/2023 - 15:11
T2310C19.5,Limit - Buy,"AT&T, Inc.",US,1,1,USD,Options,$0.02 ,($2.00),03/06/2023 - 15:08
EUR/GBP,Market - Sell,Euro/GBP,FX,-100000,0.83,GBP,Spots,£0.8874,-£122.7700,03/06/2023 - 11:23
EUR/USD,Market - Sell,EUR/USD,FX,-100000,1,USD,Spots,$1.07 ,$99.00 ,03/06/2023 - 11:23
PRK/J3,Market - Sell,Pork Cutout Futures APR 23,US,-1,1,USD,Futures,$90.43 ,($60.00),03/06/2023 - 11:23
RQ/H3,Market - Sell,10-Year USD Deliverable Interest Rate Swap MAR 23,US,-1,1,USD,Futures,$100.13 ,($187.50),03/06/2023 - 11:23
RH/H3,Market - Sell,5-Year USD Deliverable Interest Rate Swap MAR 23,US,-1,1,USD,Futures,$98.52 ,($78.20),03/06/2023 - 11:22
G2/H3,Market - Sell,E-mini  Russell 2000 Index Futures MAR 23,US,-1,1,USD,Futures,"$1,921.00 ",($170.00),03/06/2023 - 11:22
HE/K3,Market - Sell,LNHOGS MAY 13,US,-1,1,USD,Futures,$92.78 ,($40.00),03/06/2023 - 11:22
OT/H3,Market - Sell,AUDLK MAR 13,US,-1,1,USD,Futures,$0.67 ,($50.00),03/06/2023 - 11:22
P./H3,Market - Sell,AUDLKL MAR 13,US,-1,1,USD,Futures,$1.20 ,$125.00 ,03/06/2023 - 11:22
TSLA2310C275,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.01 ,$1.00 ,03/06/2023 - 11:21
TSLA2317C233.33,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.59 ,$59.00 ,03/06/2023 - 11:21
TSLA2310O150,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.02 ,$2.00 ,03/06/2023 - 11:21
TSLA2324O160,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$1.10 ,$110.00 ,03/06/2023 - 11:21
SPY2309C420,Market - Sell,SSgA Active Trust - S&P 500 ETF TRUST ETF,US,-1,1,USD,Options,$0.12 ,$12.00 ,03/06/2023 - 11:21
TSLA2310C262.5,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.01 ,$1.00 ,03/06/2023 - 11:21
TSLA2310O120,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.01 ,$1.00 ,03/06/2023 - 11:21
TSLA2310C220,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.43 ,$43.00 ,03/06/2023 - 11:21
TSLA2310C230,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$0.13 ,$13.00 ,03/06/2023 - 11:20
TSLA2317C225,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$1.15 ,$115.00 ,03/06/2023 - 11:20
TSLA2317C210,Market - Sell,Tesla Inc,US,-1,1,USD,Options,$3.60 ,$360.00 ,03/06/2023 - 11:20
TSLA2310C262.5,Market - Buy,Tesla Inc,US,1,1,USD,Options,$0.02 ,($2.00),03/06/2023 - 10:50
TSLA2310C230,Market - Buy,Tesla Inc,US,1,1,USD,Options,$0.17 ,($17.00),03/06/2023 - 10:49
TSLA2310C220,Market - Buy,Tesla Inc,US,1,1,USD,Options,$0.46 ,($46.00),03/06/2023 - 10:42
TSLA2310C275,Market - Buy,Tesla Inc,US,1,1,USD,Options,$0.02 ,($2.00),03/06/2023 - 10:39
TSLA2317C233.33,Market - Buy,Tesla Inc,US,1,1,USD,Options,$0.62 ,($62.00),03/06/2023 - 10:38
TSLA2310O150,Market - Buy,Tesla Inc,US,1,1,USD,Options,$0.04 ,($4.00),03/06/2023 - 10:32
